"phase","Plant.Type2","cover.min","cover.mid","cover.max","foliar.min","foliar.max"
"1","Forb",0.5,5,15,0.2,8
"1","Grass/Grasslike",0.3,2,3.5,0.1,1.5
"1","Shrub/Vine",0,1,7,0,3
"1","Tree",75,95,95,50,75
"2","Forb",80,80,80,60,60
"2","Grass/Grasslike",40,40,40,20,20
"2","Shrub/Vine",25,25,25,13,13
"2","Tree",85,85,85,65,65
"3","Forb",4,15,40,1.5,25
"3","Grass/Grasslike",9,11,20,4,10
"3","Shrub/Vine",5,6,30,2,15
"3","Tree",40,60,80,20,60
"4","Forb",1,5,9,0.5,4
"4","Grass/Grasslike",1,1,11,0.4,5
"4","Shrub/Vine",1,4,9,0.5,4
"4","Tree",75,90,95,55,75
"5","Forb",3,7,50,1,30
"5","Grass/Grasslike",1,4.5,90,0.5,70
"5","Shrub/Vine",1,5,35,0.4,20
"5","Tree",50,80,95,30,75
