"","plantsym","plantsciname","si.min","si.15","si.mean","si.85","si.max","si.count"
"1","ACRU","Acer rubrum",28,46.75,70.1666666666667,90.75,93,6
"2","ACSA2","Acer saccharinum",67,68,80.5555555555556,92,92,9
"3","BEPO","Betula populifolia",46,47.05,49.5,51.95,53,2
"4","FRAM2","Fraxinus americana",69,73.65,84.5,95.35,100,2
"5","FRNI","Fraxinus nigra",56,56,56,56,56,1
"6","FRPE","Fraxinus pennsylvanica",75,75,75,75,75,1
"7","LALA","Larix laricina",37,37.9,46,54.7,61,3
"8","PIST","Pinus strobus",41,41,41,41,41,1
"9","POTR5","Populus tremuloides",30,30,30,30,30,1
"10","PRSE2","Prunus serotina",72,72.3,78.3333333333333,84.9,90,3
"11","QUBI","Quercus bicolor",55,57.25,65.5,73.85,77,4
"12","QUPA2","Quercus palustris",60,60.45,68.25,76.7,83,4
"13","THOC2","Thuja occidentalis",37,37,37,37,37,2
