"clust","scientificname"
"1","Pinus resinosa - Pinus strobus - (Quercus rubra) / Corylus cornuta Forest"
"2","Pinus strobus - (Acer rubrum) / Osmunda spp. Swamp Forest"
"3","Tsuga canadensis - (Betula alleghaniensis) Forest"
"4","Tsuga canadensis - Betula alleghaniensis Swamp Forest"
"5","Quercus rubra - (Acer saccharum, Quercus alba) Forest"
"6","Quercus rubra - Quercus alba - (Quercus velutina, Acer rubrum) / Viburnum acerifolium Forest"
"7","Pinus banksiana - (Pinus resinosa) - Quercus ellipsoidalis / Carex pensylvanica Forest"
"8","Fagus grandifolia - Acer saccharum - Quercus bicolor - Acer rubrum Flatwoods Forest"
"9","Fagus grandifolia - Acer saccharum Glaciated Midwest Forest"
"10","Pinus strobus - (Pinus resinosa) - Quercus rubra Forest"
"11","Tsuga canadensis - Fagus grandifolia - (Acer saccharum) Great Lakes Forest"
"12","Tsuga canadensis - (Betula alleghaniensis) Forest"
"13","Populus tremuloides - Betula papyrifera - (Acer rubrum, Fraxinus nigra) Forest"
"14","Pinus strobus - (Pinus resinosa) - Quercus rubra Forest"
"15","Acer saccharum - Fagus grandifolia - Betula spp. / Maianthemum canadense Forest"
"16","Acer saccharum - Fagus grandifolia - Betula spp. / Maianthemum canadense Forest"
"17","Acer saccharum - Fagus grandifolia - Betula spp. / Maianthemum canadense Forest"
"18","Acer saccharum - Fagus grandifolia - Betula spp. / Maianthemum canadense Forest"
"19","Fagus grandifolia - Acer saccharum Glaciated Midwest Forest"
"20","Fagus grandifolia - Acer saccharum Glaciated Midwest Forest"
"21","Fagus grandifolia - Acer saccharum Glaciated Midwest Forest"
"22","Fagus grandifolia - Acer saccharum Glaciated Midwest Forest"
"23","Pinus strobus - (Pinus resinosa) - Quercus rubra Forest"
"24","Quercus velutina - Quercus alba / Vaccinium (angustifolium, pallidum) / Carex pensylvanica Forest"
"25","Quercus velutina - Quercus alba / Vaccinium (angustifolium, pallidum) / Carex pensylvanica Forest"
"26","Pinus strobus - (Pinus resinosa) - Quercus rubra Forest"
"27","Quercus rubra - Quercus alba - (Quercus velutina, Acer rubrum) / Viburnum acerifolium Forest"
"28","Pinus strobus - (Pinus resinosa) - Quercus rubra Forest"
"29","Quercus rubra - Quercus alba - (Quercus velutina, Acer rubrum) / Viburnum acerifolium Forest"
"30","Pinus strobus - Tsuga canadensis Great Lakes Forest"
"31","Pinus strobus - (Pinus resinosa) - Quercus rubra Forest"
"32","Quercus rubra - Quercus alba - (Quercus velutina, Acer rubrum) / Viburnum acerifolium Forest"
"33","Quercus alba - Quercus velutina - Quercus palustris / Carex pensylvanica Woodland"
"34","Pinus strobus - Quercus alba - (Quercus velutina) / Andropogon gerardii Wooded Grassland"
